case_id,run_id,Qdielectric_RIP_ref_W,Qdielectric_RIP_field_W,Qdielectric_ratio_field_to_ref,Emax_global_V_per_m,Emax_RIP_V_per_m,Emax_RIP_probe_excluding_edges_V_per_m,E95_RIP_V_per_m,Emean_RIP_V_per_m,field_singularity_flag,screen_end_hotspot_flag,status,notes
RUN009B_CASE_001,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_002,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_003,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_004,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_005,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_006,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_007,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_008,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_009,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_010,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_011,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_012,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_013,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_014,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_015,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_016,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_017,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_018,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_019,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_020,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_021,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_022,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_023,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_024,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_025,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_026,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_027,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,2.54518841,28.0485376,11.0202205,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,SOLVED_VALID,"DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
