case_id,run_id,status,load_multiplier_pu,current_A,oil_temperature_C,air_temperature_C,contact_resistance_multiplier_pu,Tmax_global_C,Tmax_conductor_C,Tmax_RIP_C,Tmax_contact_C,Tmax_silicone_C,Tmax_flange_C,Emax_RIP_probe_excluding_edges_V_per_m,Qdielectric_RIP_field_W,heat_balance_status,thermal_warning,note
RUN009B_CASE_001,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,0.800000,1000.00000,75.000000,25.000000,1.000000,77.9852911,65.3983731,77.9852911,50.6103255,51.6144365,43.1827824,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_002,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,1.000000,1250.00000,75.000000,25.000000,1.000000,78.0435165,67.5619584,78.0435165,55.9280609,53.1964775,43.7763029,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_003,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,1.200000,1500.00000,75.000000,25.000000,1.000000,78.1164748,70.2681750,78.1164748,62.6495176,55.1929444,44.5208979,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_004,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,0.800000,1000.00000,85.000000,25.000000,1.000000,88.5293976,71.9360699,88.5293976,53.4147425,55.6130493,46.3036216,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_005,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,1.000000,1250.00000,85.000000,25.000000,1.000000,88.5885323,74.1360087,88.5885323,58.7898495,57.2147289,46.9059764,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_006,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,1.200000,1500.00000,85.000000,25.000000,1.000000,88.6626256,76.8875006,88.6626256,65.5839599,59.2318901,47.6616154,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_007,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,0.800000,1000.00000,95.000000,25.000000,1.000000,99.0735040,78.4737666,99.0735040,56.2191595,59.6150034,49.4244608,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_008,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,1.000000,1250.00000,95.000000,25.000000,1.000000,99.1335482,80.7100589,99.1335482,61.6516382,61.2329802,50.0356500,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_009,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,1.200000,1500.00000,95.000000,25.000000,1.000000,99.2087765,83.5068261,99.2087765,68.5184023,63.2763793,50.8023328,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_010,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,0.800000,1000.00000,75.000000,25.000000,5.000000,77.9972676,65.7483696,77.9972676,53.8868165,52.0225210,43.3242396,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_011,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,1.000000,1250.00000,75.000000,25.000000,5.000000,78.0626112,68.1209056,78.0626112,61.1113719,53.8501356,44.0016173,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_012,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,1.200000,1500.00000,75.000000,25.000000,5.000000,78.1446668,71.0951026,78.1446668,70.2294241,56.1623404,44.8531643,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_013,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,0.800000,1000.00000,85.000000,25.000000,5.000000,88.5413741,72.2860664,88.5413741,56.6912335,56.0178881,46.4450788,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_014,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,1.000000,1250.00000,85.000000,25.000000,5.000000,88.6076271,74.6949559,88.6076271,63.9731606,57.8644164,47.1312908,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_015,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,1.200000,1500.00000,85.000000,25.000000,5.000000,88.6908176,77.7144281,88.6908176,73.1638665,60.1970055,47.9938818,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_016,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,0.800000,1000.00000,95.000000,25.000000,5.000000,99.0854806,78.8237632,99.0854806,59.4956505,60.0194846,49.5659180,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_017,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,1.000000,1250.00000,95.000000,25.000000,5.000000,99.1526429,81.2690061,99.1526429,66.8349492,61.8826678,50.2609644,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_018,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,1.200000,1500.00000,95.000000,25.000000,5.000000,99.2369685,84.3337537,99.2369685,76.0983089,64.2359512,51.1345993,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_019,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,0.800000,1000.00000,75.000000,25.000000,20.000000,78.0421795,67.0608566,78.0421795,66.1736576,53.5579265,43.8547040,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_020,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,1.000000,1250.00000,75.000000,25.000000,20.000000,82.7613327,80.0597524,80.1284247,80.5487885,56.3152617,44.8465462,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_021,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,1.200000,1500.00000,75.000000,25.000000,20.000000,102.033526,97.9071983,98.0195436,98.6540738,59.8222195,46.0991634,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_022,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,0.800000,1000.00000,85.000000,25.000000,20.000000,88.5862860,73.5985534,88.5862860,68.9780746,57.5482050,46.9755432,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_023,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,1.000000,1250.00000,85.000000,25.000000,20.000000,88.6792324,82.9296105,88.6792324,83.4105771,60.3163663,47.9762197,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_024,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,1.200000,1500.00000,85.000000,25.000000,20.000000,104.997613,100.848950,100.956951,101.588516,63.8410183,49.2398809,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_025,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,0.800000,1000.00000,95.000000,25.000000,20.000000,99.1303925,80.1362502,99.1303925,71.7824916,61.5435721,50.0963824,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_026,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,1.000000,1250.00000,95.000000,25.000000,20.000000,99.2242482,85.7994687,99.2242482,86.2723658,64.3261764,51.1058933,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
RUN009B_CASE_027,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,1.200000,1500.00000,95.000000,25.000000,20.000000,107.961699,103.790701,103.894359,104.522959,67.8668764,52.3805983,45634515.2,28.0485376,VALID_STRICT,false,"RUN009B 27-case field-coupled dielectric loss check; by-ID selections; RUN006 source normalization; DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10"
