sensitivity_case_id,base_case,parameter_name,parameter_value,parameter_multiplier,load_multiplier_pu,current_A,oil_temperature_C,air_temperature_C,contact_resistance_multiplier_pu,voltage_multiplier_pu,source_model,notes
RUN011B_CASE_001,SENS_BASELINE,k_RIP_multiplier,0.800000000,0.800000000,1.000000,1250.00000,85.000000,25.000000,1.000000,1.000000,field_coupled_Qdielectric,"multiplier; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_002,SENS_BASELINE,k_RIP_multiplier,1.00000000,1.00000000,1.000000,1250.00000,85.000000,25.000000,1.000000,1.000000,field_coupled_Qdielectric,"multiplier; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_003,SENS_BASELINE,k_RIP_multiplier,1.20000000,1.20000000,1.000000,1250.00000,85.000000,25.000000,1.000000,1.000000,field_coupled_Qdielectric,"multiplier; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_004,SENS_BASELINE,tan_delta_multiplier,0.500000000,0.500000000,1.000000,1250.00000,85.000000,25.000000,1.000000,1.000000,field_coupled_Qdielectric,"multiplier; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_005,SENS_BASELINE,tan_delta_multiplier,1.00000000,1.00000000,1.000000,1250.00000,85.000000,25.000000,1.000000,1.000000,field_coupled_Qdielectric,"multiplier; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_006,SENS_BASELINE,tan_delta_multiplier,2.00000000,2.00000000,1.000000,1250.00000,85.000000,25.000000,1.000000,1.000000,field_coupled_Qdielectric,"multiplier; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_007,SENS_BASELINE,tan_delta_multiplier,5.00000000,5.00000000,1.000000,1250.00000,85.000000,25.000000,1.000000,1.000000,field_coupled_Qdielectric,"multiplier; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_008,SENS_BASELINE,epsr_RIP,3.50000000,0.833333333,1.000000,1250.00000,85.000000,25.000000,1.000000,1.000000,field_coupled_Qdielectric,"absolute; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_009,SENS_BASELINE,epsr_RIP,4.20000000,1.00000000,1.000000,1250.00000,85.000000,25.000000,1.000000,1.000000,field_coupled_Qdielectric,"absolute; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_010,SENS_BASELINE,epsr_RIP,4.50000000,1.07142857,1.000000,1250.00000,85.000000,25.000000,1.000000,1.000000,field_coupled_Qdielectric,"absolute; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_011,SENS_BASELINE,h_oil,100.000000,0.333333333,1.000000,1250.00000,85.000000,25.000000,1.000000,1.000000,field_coupled_Qdielectric,"absolute_W_m2K; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_012,SENS_BASELINE,h_oil,300.000000,1.00000000,1.000000,1250.00000,85.000000,25.000000,1.000000,1.000000,field_coupled_Qdielectric,"absolute_W_m2K; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_013,SENS_BASELINE,h_oil,500.000000,1.66666667,1.000000,1250.00000,85.000000,25.000000,1.000000,1.000000,field_coupled_Qdielectric,"absolute_W_m2K; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_014,SENS_BASELINE,h_air,5.00000000,0.250000000,1.000000,1250.00000,85.000000,25.000000,1.000000,1.000000,field_coupled_Qdielectric,"absolute_W_m2K; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_015,SENS_BASELINE,h_air,10.0000000,0.500000000,1.000000,1250.00000,85.000000,25.000000,1.000000,1.000000,field_coupled_Qdielectric,"absolute_W_m2K; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_016,SENS_BASELINE,h_air,20.0000000,1.00000000,1.000000,1250.00000,85.000000,25.000000,1.000000,1.000000,field_coupled_Qdielectric,"absolute_W_m2K; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_017,SENS_BASELINE,Rc0_multiplier,0.500000000,0.500000000,1.000000,1250.00000,85.000000,25.000000,1.000000,1.000000,field_coupled_Qdielectric,"multiplier; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_018,SENS_BASELINE,Rc0_multiplier,1.00000000,1.00000000,1.000000,1250.00000,85.000000,25.000000,1.000000,1.000000,field_coupled_Qdielectric,"multiplier; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_019,SENS_BASELINE,Rc0_multiplier,2.00000000,2.00000000,1.000000,1250.00000,85.000000,25.000000,1.000000,1.000000,field_coupled_Qdielectric,"multiplier; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_020,SENS_HIGH_RISK,k_RIP_multiplier,0.800000000,0.800000000,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"multiplier; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_021,SENS_HIGH_RISK,k_RIP_multiplier,1.00000000,1.00000000,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"multiplier; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_022,SENS_HIGH_RISK,k_RIP_multiplier,1.20000000,1.20000000,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"multiplier; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_023,SENS_HIGH_RISK,tan_delta_multiplier,0.500000000,0.500000000,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"multiplier; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_024,SENS_HIGH_RISK,tan_delta_multiplier,1.00000000,1.00000000,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"multiplier; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_025,SENS_HIGH_RISK,tan_delta_multiplier,2.00000000,2.00000000,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"multiplier; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_026,SENS_HIGH_RISK,tan_delta_multiplier,5.00000000,5.00000000,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"multiplier; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_027,SENS_HIGH_RISK,epsr_RIP,3.50000000,0.833333333,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"absolute; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_028,SENS_HIGH_RISK,epsr_RIP,4.20000000,1.00000000,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"absolute; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_029,SENS_HIGH_RISK,epsr_RIP,4.50000000,1.07142857,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"absolute; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_030,SENS_HIGH_RISK,h_oil,100.000000,0.333333333,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"absolute_W_m2K; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_031,SENS_HIGH_RISK,h_oil,300.000000,1.00000000,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"absolute_W_m2K; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_032,SENS_HIGH_RISK,h_oil,500.000000,1.66666667,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"absolute_W_m2K; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_033,SENS_HIGH_RISK,h_air,5.00000000,0.250000000,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"absolute_W_m2K; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_034,SENS_HIGH_RISK,h_air,10.0000000,0.500000000,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"absolute_W_m2K; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_035,SENS_HIGH_RISK,h_air,20.0000000,1.00000000,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"absolute_W_m2K; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_036,SENS_HIGH_RISK,Rc0_multiplier,0.500000000,0.500000000,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"multiplier; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_037,SENS_HIGH_RISK,Rc0_multiplier,1.00000000,1.00000000,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"multiplier; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_038,SENS_HIGH_RISK,Rc0_multiplier,2.00000000,2.00000000,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"multiplier; one-factor-at-a-time; not final SCI result"
