case_id,original_status,original_failure_reason,valid_temperature,valid_Qjoule,valid_Qcontact,valid_selection,valid_heat_balance_strict,valid_heat_balance_reclassified,heat_balance_status,overall_valid_reclassified,thermal_warning,thermal_risk,final_failure_reason
RUN008_CASE_001,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_002,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_003,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_004,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_005,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_006,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_007,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_008,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_009,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_010,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_011,INVALID_CASE,heat_balance,true,true,true,true,false,true,VALID_LOW_POWER_RECLASSIFIED,true,false,false,
RUN008_CASE_012,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_013,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_014,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_015,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_016,INVALID_CASE,heat_balance,true,true,true,true,false,true,VALID_LOW_POWER_RECLASSIFIED,true,false,false,
RUN008_CASE_017,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_018,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_019,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_020,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_021,INVALID_CASE,heat_balance,true,true,true,true,false,true,VALID_LOW_POWER_RECLASSIFIED,true,false,false,
RUN008_CASE_022,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_023,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_024,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_025,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_026,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_027,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_028,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_029,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_030,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_031,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_032,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_033,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_034,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_035,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_036,INVALID_CASE,heat_balance,true,true,true,true,false,true,VALID_LOW_POWER_RECLASSIFIED,true,false,false,
RUN008_CASE_037,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_038,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_039,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_040,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_041,INVALID_CASE,heat_balance,true,true,true,true,false,true,VALID_LOW_POWER_RECLASSIFIED,true,false,false,
RUN008_CASE_042,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_043,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_044,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_045,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_046,INVALID_CASE,heat_balance,true,true,true,true,false,true,VALID_LOW_POWER_RECLASSIFIED,true,false,false,
RUN008_CASE_047,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_048,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_049,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_050,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_051,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_052,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_053,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_054,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_055,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_056,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_057,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_058,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_059,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_060,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_061,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_062,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_063,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_064,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_065,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_066,INVALID_CASE,heat_balance,true,true,true,true,false,true,VALID_LOW_POWER_RECLASSIFIED,true,false,false,
RUN008_CASE_067,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_068,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_069,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_070,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_071,INVALID_CASE,heat_balance,true,true,true,true,false,true,VALID_LOW_POWER_RECLASSIFIED,true,false,false,
RUN008_CASE_072,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_073,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_074,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_075,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_076,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_077,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_078,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_079,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_080,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_081,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_082,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_083,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_084,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_085,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_086,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_087,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_088,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_089,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_090,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_091,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_092,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_093,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_094,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_095,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_096,INVALID_CASE,heat_balance,true,true,true,true,false,true,VALID_LOW_POWER_RECLASSIFIED,true,false,false,
RUN008_CASE_097,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_098,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_099,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_100,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_101,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_102,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_103,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_104,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_105,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_106,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_107,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_108,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_109,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_110,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_111,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_112,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_113,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_114,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_115,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_116,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_117,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_118,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_119,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_120,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_121,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_122,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_123,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_124,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,false,false,
RUN008_CASE_125,SOLVED_VALID,,true,true,true,true,true,true,VALID_STRICT,true,true,false,
